text,label,category
New safety procedures are in effect. Please review the guidelines.,1,not spam
Quarterly business review meeting scheduled for next Monday at 2 PM.,1,not spam
"Dear Jennifer, Thank you for your patience. The documents are ready for your review.",1,not spam
Please complete the employee satisfaction survey by Friday.,1,not spam
Your expense report has been approved and will be processed next week.,1,not spam
Action items from today's meeting are summarized below.,1,not spam
"Hello Team, I'm writing to follow up on our phone conversation last week.",1,not spam
"Hi John, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
Thank you for your feedback. We value your input and will use it to improve.,1,not spam
"Dear Sarah, Thank you for your interest in our services. I've attached the requested information.",1,not spam
The new office policies have been updated. Please review the attached handbook.,1,not spam
"Dear Team, Please find below the meeting notes from team meeting.",1,not spam
Your training session has been confirmed for February 20.,1,not spam
"Dear Michael, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
Project status update: Phase 1 is complete. Moving to phase 2 next week.,1,not spam
"Hello James, I'm writing to follow up on our phone conversation last week.",1,not spam
"Dear Sarah, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
"Dear Amanda, Thank you for your interest in our services. I've attached the requested information.",1,not spam
Your training session has been confirmed for April 5.,1,not spam
"Hi Colleagues, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Hello Team, I wanted to confirm our meeting scheduled for Wednesday at 3 PM. Please let me know if this works.",1,not spam
Your subscription has been renewed successfully. Next billing date: May 15.,1,not spam
We have received your request and will respond within 24 hours.,1,not spam
"Dear James, Thank you for your patience. The documents are ready for your review.",1,not spam
"Dear Team, Your order #40512 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear Michael, Please find below the meeting notes from weekly standup.",1,not spam
Your return has been processed. Refund will appear in 5-7 business days.,1,not spam
"Hi Robert, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
Your training session has been confirmed for May 15.,1,not spam
Please review the attached proposal and provide comments by Friday.,1,not spam
"Hi Jennifer, I would like to schedule a call to discuss the project timeline.",1,not spam
Your subscription has been renewed successfully. Next billing date: June 1.,1,not spam
Your subscription has been renewed successfully. Next billing date: March 10.,1,not spam
"Dear James, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
Thank you for contacting support. Your ticket #7482 has been received.,1,not spam
Your subscription has been renewed successfully. Next billing date: April 5.,1,not spam
"Hi Partner, I would like to schedule a call to discuss the project timeline.",1,not spam
"Dear Colleagues, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
"Hello Partner, I wanted to confirm our meeting scheduled for next week. Please let me know if this works.",1,not spam
"Hello Client, I'm writing to follow up on our phone conversation last week.",1,not spam
Your appointment has been confirmed for February 20 at tomorrow afternoon.,1,not spam
"Dear David, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
Your appointment has been confirmed for June 1 at Wednesday at 3 PM.,1,not spam
"Hello Robert, I wanted to confirm our meeting scheduled for next week. Please let me know if this works.",1,not spam
"Dear James, Thank you for your interest in our services. I've attached the requested information.",1,not spam
"Dear Partner, Please find below the meeting notes from team meeting.",1,not spam
"Dear Colleagues, Please find below the meeting notes from project review.",1,not spam
Your appointment has been confirmed for June 1 at next week.,1,not spam
"Hello David, I wanted to confirm our meeting scheduled for Tuesday at 10 AM. Please let me know if this works.",1,not spam
"Hi David, I would like to schedule a call to discuss the project timeline.",1,not spam
"Hello Emily, I'm writing to follow up on our phone conversation last week.",1,not spam
"Dear Lisa, Please find below the meeting notes from budget planning.",1,not spam
"Hi Client, I would like to schedule a call to discuss the project timeline.",1,not spam
"Hello Amanda, I wanted to confirm our meeting scheduled for next week. Please let me know if this works.",1,not spam
Thank you for contacting support. Your ticket #9085 has been received.,1,not spam
"Dear Robert, Your order #93810 has been shipped and should arrive within 3-5 business days.",1,not spam
Your appointment has been confirmed for March 10 at Thursday at 11 AM.,1,not spam
Your appointment has been confirmed for April 5 at next week.,1,not spam
"Hi Jennifer, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Hi Robert, I would like to schedule a call to discuss the project timeline.",1,not spam
"Dear Robert, Thank you for your patience. The documents are ready for your review.",1,not spam
Your appointment has been confirmed for April 5 at Thursday at 11 AM.,1,not spam
"Hello Client, I wanted to confirm our meeting scheduled for Wednesday at 3 PM. Please let me know if this works.",1,not spam
Thank you for contacting support. Your ticket #4483 has been received.,1,not spam
"Hello Emily, I wanted to confirm our meeting scheduled for next week. Please let me know if this works.",1,not spam
"Hello James, I wanted to confirm our meeting scheduled for Monday at 2 PM. Please let me know if this works.",1,not spam
"Dear Colleagues, Your order #39256 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear Lisa, Thank you for your patience. The documents are ready for your review.",1,not spam
Thank you for contacting support. Your ticket #2827 has been received.,1,not spam
Your subscription has been renewed successfully. Next billing date: January 15.,1,not spam
"Hi Amanda, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Dear Partner, Thank you for your patience. The documents are ready for your review.",1,not spam
"Hello Michael, I'm writing to follow up on our phone conversation last week.",1,not spam
"Hi John, I would like to schedule a call to discuss the project timeline.",1,not spam
"Dear Client, Please find below the meeting notes from budget planning.",1,not spam
"Dear Client, Thank you for your interest in our services. I've attached the requested information.",1,not spam
Thank you for contacting support. Your ticket #8433 has been received.,1,not spam
"Hello Amanda, I'm writing to follow up on our phone conversation last week.",1,not spam
"Dear Lisa, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
"Dear David, Your order #52504 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear Colleagues, Thank you for your interest in our services. I've attached the requested information.",1,not spam
Thank you for contacting support. Your ticket #3646 has been received.,1,not spam
"Dear Jennifer, Thank you for your interest in our services. I've attached the requested information.",1,not spam
"Dear David, Your order #55082 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear Client, Your order #80010 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear Colleagues, Thank you for your patience. The documents are ready for your review.",1,not spam
"Dear David, Thank you for your interest in our services. I've attached the requested information.",1,not spam
"Dear Emily, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
"Dear Michael, Your order #93886 has been shipped and should arrive within 3-5 business days.",1,not spam
"Hi James, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Hello Michael, I wanted to confirm our meeting scheduled for tomorrow afternoon. Please let me know if this works.",1,not spam
Your training session has been confirmed for June 1.,1,not spam
"Hello Jennifer, I wanted to confirm our meeting scheduled for Thursday at 11 AM. Please let me know if this works.",1,not spam
"Hi Lisa, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Dear Partner, Thank you for your interest in our services. I've attached the requested information.",1,not spam
Thank you for contacting support. Your ticket #9689 has been received.,1,not spam
"Hello Lisa, I'm writing to follow up on our phone conversation last week.",1,not spam
"Hi Team, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Hi Emily, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Dear Amanda, Thank you for your email. I will review the attached document and respond within 48 hours.",1,not spam
"Dear Partner, Your order #83000 has been shipped and should arrive within 3-5 business days.",1,not spam
"Hi David, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Hi Partner, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Hello Emily, I wanted to confirm our meeting scheduled for tomorrow afternoon. Please let me know if this works.",1,not spam
"Hello Robert, I wanted to confirm our meeting scheduled for Friday at 4 PM. Please let me know if this works.",1,not spam
Your appointment has been confirmed for February 20 at next week.,1,not spam
"Dear Emily, Thank you for your interest in our services. I've attached the requested information.",1,not spam
Your training session has been confirmed for March 10.,1,not spam
"Dear Team, Your order #44993 has been shipped and should arrive within 3-5 business days.",1,not spam
"Hi Client, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Dear Team, Thank you for your patience. The documents are ready for your review.",1,not spam
"Dear Jennifer, Please find below the meeting notes from project review.",1,not spam
"Hello Partner, I'm writing to follow up on our phone conversation last week.",1,not spam
"Hello James, I wanted to confirm our meeting scheduled for Friday at 4 PM. Please let me know if this works.",1,not spam
"Hi Michael, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Dear James, Your order #23396 has been shipped and should arrive within 3-5 business days.",1,not spam
"Hello John, I'm writing to follow up on our phone conversation last week.",1,not spam
Your appointment has been confirmed for May 15 at Thursday at 11 AM.,1,not spam
"Hi Amanda, I would like to schedule a call to discuss the project timeline.",1,not spam
"Dear Emily, Thank you for your patience. The documents are ready for your review.",1,not spam
Your appointment has been confirmed for April 5 at Wednesday at 3 PM.,1,not spam
"Hi Colleagues, I would like to schedule a call to discuss the project timeline.",1,not spam
"Dear Team, Please find below the meeting notes from client presentation.",1,not spam
Your appointment has been confirmed for June 1 at Monday at 2 PM.,1,not spam
"Dear Lisa, Thank you for your interest in our services. I've attached the requested information.",1,not spam
Your subscription has been renewed successfully. Next billing date: February 20.,1,not spam
Your appointment has been confirmed for May 15 at Monday at 2 PM.,1,not spam
Your appointment has been confirmed for January 15 at Thursday at 11 AM.,1,not spam
"Dear Robert, Your order #38657 has been shipped and should arrive within 3-5 business days.",1,not spam
Thank you for contacting support. Your ticket #2403 has been received.,1,not spam
"Dear John, Thank you for your patience. The documents are ready for your review.",1,not spam
"Dear Robert, Your order #59823 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear Sarah, Please find below the meeting notes from budget planning.",1,not spam
"Hello Lisa, I wanted to confirm our meeting scheduled for Thursday at 11 AM. Please let me know if this works.",1,not spam
"Dear David, Please find below the meeting notes from weekly standup.",1,not spam
"Hello James, I wanted to confirm our meeting scheduled for Thursday at 11 AM. Please let me know if this works.",1,not spam
Thank you for contacting support. Your ticket #6038 has been received.,1,not spam
Thank you for contacting support. Your ticket #2290 has been received.,1,not spam
"Dear Emily, Please find below the meeting notes from client presentation.",1,not spam
"Hi Sarah, Following up on our meeting yesterday. Please find the action items summarized below.",1,not spam
"Dear Amanda, Your order #26361 has been shipped and should arrive within 3-5 business days.",1,not spam
"Hi Michael, I would like to schedule a call to discuss the project timeline.",1,not spam
"Dear James, Your order #57819 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear David, Thank you for your patience. The documents are ready for your review.",1,not spam
"Hi James, I would like to schedule a call to discuss the project timeline.",1,not spam
"Hello Jennifer, I'm writing to follow up on our phone conversation last week.",1,not spam
Hot singles in your area! Meet people tonight!!!!,0,spam
Dream job opportunity: Earn $200/hour from your couch! Apply now!!!!,0,spam
Lose weight fast! Amazing results in just 1 week!,0,spam
Your opinion matters! Complete our survey for rewards!,0,spam
Free gift!! Just pay shipping and handling!!,0,spam
Discount luxury items! 90% off retail price!,2,promotion
Your email has won a lottery! Send your details to claim!,0,spam
Best prices online! Free shipping on all orders!!!!,2,promotion
Free gift! Just pay shipping and handling!,0,spam
Stay home and make money! Our proven system works! 100% guaranteed!,0,spam
Exclusive content for adults only! Join now!,0,spam
Bad credit? No problem!! Get approved today!!,0,spam
Adult chat rooms! Meet like-minded people!,0,spam
Make $2000 per month working from home! No experience needed! Start today!,0,spam
URGENT: Your account will be suspended in 24 hours! Verify now!,5,phishing
Your loan application approved!! Low rates!! Click to accept!!,0,spam
Limited time only! Don't miss this opportunity!,2,promotion
ACT NOW! This offer expires in 1 hour!,2,promotion
PRE-APPROVED FOR CREDIT CARD WITH 0% APR! APPLY NOW!,0,spam
Make $100000 per month working from home! No experience needed! Start today!,0,spam
Hot singles in your area!! Meet people tonight!!,0,spam
YOUR LOAN APPLICATION APPROVED! LOW RATES! CLICK TO ACCEPT!,0,spam
CONGRATULATIONS! You've won $5000! Claim your prize now!,0,spam
You've been selected for a special offer! Don't miss out!,2,promotion
Hot singles in your area! Meet people tonight!,0,spam
Best prices online! Free shipping on all orders!,2,promotion
Consolidate your debt now!! Save thousands in interest!!,0,spam
CONGRATULATIONS!! You've won $50000!! Claim your prize now!!,0,spam
Dream job opportunity: Earn $200/hour from your couch! Apply now!,0,spam
Consolidate your debt now! Save thousands in interest!,0,spam
Hot new product! 80% off for first 100 customers!,2,promotion
Your loan application approved! Low rates! Click to accept!,0,spam
Your opinion matters! Complete our survey for rewards!!!!,0,spam
Part-time job with full-time income potential!! Apply within 24 hours!!,0,spam
Your computer is infected! Call now for immediate help!,0,spam
Limited time only! Don't miss this opportunity!!!!,2,promotion
Make $10000 per month working from home! No experience needed! Start today!,0,spam
Congratulations dear friend! You've won $10000!,0,spam
CONGRATULATIONS! You've won $2000! Claim your prize now!,0,spam
Your package is waiting! Confirm your delivery address!,0,spam
Your package is waiting! Confirm your delivery address!!!!,0,spam
HOT NEW PRODUCT! 80% OFF FOR FIRST 100 CUSTOMERS!,2,promotion
Work from home: Earn $2000/day! No selling required! Limited spots available!,0,spam
Exclusive content for adults only!! Join now!!,0,spam
PART-TIME JOB WITH FULL-TIME INCOME POTENTIAL! APPLY WITHIN 24 HOURS!,0,spam
Congratulations dear friend! You've won $1000!,0,spam
YOUR OPINION MATTERS! COMPLETE OUR SURVEY FOR REWARDS!,0,spam
YOUR EMAIL HAS WON A LOTTERY! SEND YOUR DETAILS TO CLAIM!,0,spam
Bad credit? No problem! Get approved today!,0,spam
Investment opportunity! Double your money in 30 days!,0,spam
Best prices online!! Free shipping on all orders!!,2,promotion
BAD CREDIT? NO PROBLEM! GET APPROVED TODAY!,0,spam
Pre-approved for credit card with 0% APR! Apply now!,0,spam
Make $5000 per month working from home! No experience needed! Start today!,0,spam
Adult chat rooms! Meet like-minded people!!!!,0,spam
CONGRATULATIONS! You've won $50000! Claim your prize now!,0,spam
BEST PRICES ONLINE! FREE SHIPPING ON ALL ORDERS!,2,promotion
URGENT: YOUR ACCOUNT WILL BE SUSPENDED IN 24 HOURS! VERIFY NOW!,5,phishing
Your loan application approved! Low rates! Click to accept!!!!,0,spam
You've been selected for a special offer!! Don't miss out!!,2,promotion
HOT SINGLES IN YOUR AREA! MEET PEOPLE TONIGHT!,0,spam
Discount luxury items!! 90% off retail price!!,2,promotion
Make $50000 per month working from home! No experience needed! Start today!,0,spam
Discount luxury items! 90% off retail price!!!!,2,promotion
MAKE $100000 PER MONTH WORKING FROM HOME! NO EXPERIENCE NEEDED! START TODAY!,0,spam
Make $1000 per month working from home! No experience needed! Start today!,0,spam
You've been selected for a special offer! Don't miss out!!!!,2,promotion
ADULT CHAT ROOMS! MEET LIKE-MINDED PEOPLE!,0,spam
Congratulations dear friend!! You've won $1000!!,0,spam
Your email has won a lottery! Send your details to claim!!!!,0,spam
FREE GIFT! JUST PAY SHIPPING AND HANDLING!,0,spam
Investment opportunity! Double your money in 30 days!!!!,0,spam
LOSE WEIGHT FAST! AMAZING RESULTS IN JUST 1 WEEK!,0,spam
Limited time only!! Don't miss this opportunity!!,2,promotion
CONSOLIDATE YOUR DEBT NOW! SAVE THOUSANDS IN INTEREST!,2,promotion
Your package is waiting!! Confirm your delivery address!!,0,spam
WORK FROM HOME: EARN $5000/DAY! NO SELLING REQUIRED! LIMITED SPOTS AVAILABLE!,0,spam
Work from home: Earn $10000/day!! No selling required!! Limited spots available!!,0,spam
Work from home: Earn $5000/day! No selling required! Limited spots available!,0,spam
Part-time job with full-time income potential! Apply within 24 hours!,0,spam
STAY HOME AND MAKE MONEY! OUR PROVEN SYSTEM WORKS! 100% GUARANTEED!,0,spam
Congratulations dear friend! You've won $5000!,0,spam
Work from home: Earn $10000/day! No selling required! Limited spots available!,0,spam
Click here to claim your free trial!,0,spam
Lose weight fast! Amazing results in just 1 week!!!!,0,spam
Work from home: Earn $1000/day! No selling required! Limited spots available!,0,spam
LIMITED TIME ONLY! DON'T MISS THIS OPPORTUNITY!,2,promotion
CONGRATULATIONS! You've won $1000! Claim your prize now!,0,spam
Lose weight fast!! Amazing results in just 1 week!!,0,spam
Consolidate your debt now! Save thousands in interest!!!!,2,promotion
Work from home: Earn $500/day! No selling required! Limited spots available!,0,spam
Adult chat rooms!! Meet like-minded people!!,0,spam
CONGRATULATIONS! You've won $5000! Claim your prize now!!!!,0,spam
ACT NOW! This offer expires in 1 hour!!!!,2,promotion
Stay home and make money! Our proven system works! 100% guaranteed!!!!,0,spam
Congratulations dear friend! You've won $500!,0,spam
Your email has won a lottery!! Send your details to claim!!,0,spam
CONGRATULATIONS! YOU'VE WON $10000! CLAIM YOUR PRIZE NOW!,0,spam
Click here to claim your free trial!!!!,0,spam
Your opinion matters!! Complete our survey for rewards!!,0,spam
Work from home: Earn $2000/day! No selling required! Limited spots available!!!!,0,spam
Make $100000 per month working from home! No experience needed! Start today!!!!,0,spam
Pre-approved for credit card with 0% APR!! Apply now!!,0,spam
Part-time job with full-time income potential! Apply within 24 hours!!!!,0,spam
INVESTMENT OPPORTUNITY! DOUBLE YOUR MONEY IN 30 DAYS!,0,spam
Click here to claim your free trial!!,0,spam
URGENT: Your account will be suspended in 24 hours!! Verify now!!,5,phishing
Make $2000 per month working from home!! No experience needed!! Start today!!,0,spam
CONGRATULATIONS! You've won $500! Claim your prize now!,0,spam
Congratulations dear friend! You've won $100000!!!!,0,spam
Your computer is infected!! Call now for immediate help!!,0,spam
Pre-approved for credit card with 0% APR! Apply now!!!!,0,spam
Free gift! Just pay shipping and handling!!!!,0,spam
CONGRATULATIONS! YOU'VE WON $2000! CLAIM YOUR PRIZE NOW!,0,spam
Bad credit? No problem! Get approved today!!!!,0,spam
Make $500 per month working from home! No experience needed! Start today!,0,spam
Exclusive content for adults only! Join now!!!!,0,spam
Work from home: Earn $50000/day! No selling required! Limited spots available!!!!,0,spam
DREAM JOB OPPORTUNITY: EARN $200/HOUR FROM YOUR COUCH! APPLY NOW!,0,spam
WORK FROM HOME: EARN $1000/DAY! NO SELLING REQUIRED! LIMITED SPOTS AVAILABLE!,0,spam
CONGRATULATIONS! You've won $100000! Claim your prize now!,0,spam
ACT NOW! THIS OFFER EXPIRES IN 1 HOUR!,2,promotion
Make $1000 per month working from home!! No experience needed!! Start today!!,0,spam
CLICK HERE TO CLAIM YOUR FREE TRIAL!,0,spam
CONGRATULATIONS! You've won $100000! Claim your prize now!!!!,0,spam
Congratulations dear friend!! You've won $5000!!,0,spam
EXCLUSIVE CONTENT FOR ADULTS ONLY! JOIN NOW!,0,spam
IRS: You have an outstanding tax refund of $3000. Submit your claim now.,5,phishing
"New device signed into your Google account. If this wasn't you, secure your account now!",5,phishing
We detected unusual activity on your Microsoft account. Please verify your identity immediately to avoid account suspension.,5,phishing
Verify your Chase account within 24 hours or it will be suspended permanently.,5,phishing
New login to your social media account from Unknown location.,5,phishing
Social Security Administration: Your account has been flagged. Contact us immediately.,5,phishing
Your password reset request is waiting. Click to confirm.,5,phishing
Your PayPal subscription is about to renew. Review your payment method.,5,phishing
Delivery attempt failed. Schedule a redelivery now!,5,phishing
Your shipment is held. Confirm your information to receive it.,5,phishing
Your Facebook subscription is about to renew. Review your payment method.,5,phishing
IRS: You have an outstanding tax refund of $1000. Submit your claim now.,5,phishing
Your payment for Twitter failed. Please update your billing information to continue service.,5,phishing
New login to your social media account from different country.,5,phishing
Your Microsoft account is being reviewed. Submit ID verification.,5,phishing
Important: Your Facebook account requires immediate attention. Update your information.,5,phishing
"New device signed into your Chase account. If this wasn't you, secure your account now!",5,phishing
Your Microsoft subscription is about to renew. Review your payment method.,5,phishing
"Someone requested a password reset for your Chase account. If this wasn't you, click here to cancel.",5,phishing
We detected unusual activity on your Wells Fargo account. Please verify your identity immediately to avoid account suspension.,5,phishing
Invoice #6285 is overdue. Pay now to avoid service interruption.,5,phishing
Invoice #5856 is overdue. Pay now to avoid service interruption.,5,phishing
Your package from Google could not be delivered. Update your address.,5,phishing
We blocked a sign-in to your account from Unknown location. Review this activity.,5,phishing
"Someone requested a password reset for your LinkedIn account. If this wasn't you, click here to cancel.",5,phishing
We blocked a sign-in to your account from China. Review this activity.,5,phishing
Someone tagged you in a photo. Login to view.,5,phishing
Your Instagram account has been compromised. Click here to secure your account now!,5,phishing
Verify your Twitter account within 24 hours or it will be suspended permanently.,5,phishing
Federal Reserve: Suspicious activity detected in your account.,5,phishing
Important: Your Steam account requires immediate attention. Update your information.,5,phishing
Your payment for Steam failed. Please update your billing information to continue service.,5,phishing
Your package from Twitter could not be delivered. Update your address.,5,phishing
IRS: You have an outstanding tax refund of $500. Submit your claim now.,5,phishing
New login to your social media account from new device.,5,phishing
"Someone requested a password reset for your Netflix account. If this wasn't you, click here to cancel.",5,phishing
Your Google account is being reviewed. Submit ID verification.,5,phishing
Reset your LinkedIn password now. This link expires in 1 hour.,5,phishing
Verify your Instagram account within 24 hours or it will be suspended permanently.,5,phishing
Important: Your Google account requires immediate attention. Update your information.,5,phishing
New login to your social media account from Russia.,5,phishing
Your Steam account has been compromised. Click here to secure your account now!,5,phishing
We blocked a sign-in to your account from Russia. Review this activity.,5,phishing
Verify your Bank of America account within 24 hours or it will be suspended permanently.,5,phishing
Invoice #3847 is overdue. Pay now to avoid service interruption.,5,phishing
Your package from Amazon could not be delivered. Update your address.,5,phishing
Your Facebook account is being reviewed. Submit ID verification.,5,phishing
"Security alert: Your password was changed. If this wasn't you, act immediately.",5,phishing
IRS: You have an outstanding tax refund of $5000. Submit your claim now.,5,phishing
Your payment for LinkedIn failed. Please update your billing information to continue service.,5,phishing
Reset your Steam password now. This link expires in 1 hour.,5,phishing
Verify your PayPal account within 24 hours or it will be suspended permanently.,5,phishing
Verify your Microsoft account within 24 hours or it will be suspended permanently.,5,phishing
Verify your Apple account within 24 hours or it will be suspended permanently.,5,phishing
New login to your social media account from China.,5,phishing
Invoice #1653 is overdue. Pay now to avoid service interruption.,5,phishing
Invoice #6668 is overdue. Pay now to avoid service interruption.,5,phishing
Your payment for Wells Fargo failed. Please update your billing information to continue service.,5,phishing
Verify your Citibank account within 24 hours or it will be suspended permanently.,5,phishing
"New device signed into your Dropbox account. If this wasn't you, secure your account now!",5,phishing
We detected unusual activity on your Twitter account. Please verify your identity immediately to avoid account suspension.,5,phishing
Invoice #3916 is overdue. Pay now to avoid service interruption.,5,phishing
Reset your Instagram password now. This link expires in 1 hour.,5,phishing
Verify your Adobe account within 24 hours or it will be suspended permanently.,5,phishing
Your Adobe account has been compromised. Click here to secure your account now!,5,phishing
Invoice #2117 is overdue. Pay now to avoid service interruption.,5,phishing
Invoice #6248 is overdue. Pay now to avoid service interruption.,5,phishing
Invoice #2072 is overdue. Pay now to avoid service interruption.,5,phishing
Invoice #9419 is overdue. Pay now to avoid service interruption.,5,phishing
Reset your PayPal password now. This link expires in 1 hour.,5,phishing
We detected unusual activity on your Netflix account. Please verify your identity immediately to avoid account suspension.,5,phishing
Your Steam account is being reviewed. Submit ID verification.,5,phishing
Your Twitter subscription is about to renew. Review your payment method.,5,phishing
Reset your Twitter password now. This link expires in 1 hour.,5,phishing
"New device signed into your Twitter account. If this wasn't you, secure your account now!",5,phishing
Important: Your Chase account requires immediate attention. Update your information.,5,phishing
"New device signed into your Steam account. If this wasn't you, secure your account now!",5,phishing
Your Wells Fargo account is being reviewed. Submit ID verification.,5,phishing
Verify your Facebook account within 24 hours or it will be suspended permanently.,5,phishing
Important: Your Microsoft account requires immediate attention. Update your information.,5,phishing
We detected unusual activity on your Citibank account. Please verify your identity immediately to avoid account suspension.,5,phishing
Invoice #5178 is overdue. Pay now to avoid service interruption.,5,phishing
Your payment for Instagram failed. Please update your billing information to continue service.,5,phishing
Your PayPal account is being reviewed. Submit ID verification.,5,phishing
We detected unusual activity on your Apple account. Please verify your identity immediately to avoid account suspension.,5,phishing
Your package from Bank of America could not be delivered. Update your address.,5,phishing
Your payment for Microsoft failed. Please update your billing information to continue service.,5,phishing
We detected unusual activity on your Steam account. Please verify your identity immediately to avoid account suspension.,5,phishing
Your Adobe subscription is about to renew. Review your payment method.,5,phishing
Reset your Dropbox password now. This link expires in 1 hour.,5,phishing
Your payment for Netflix failed. Please update your billing information to continue service.,5,phishing
Your Amazon subscription is about to renew. Review your payment method.,5,phishing
Reset your Wells Fargo password now. This link expires in 1 hour.,5,phishing
Invoice #1620 is overdue. Pay now to avoid service interruption.,5,phishing
We blocked a sign-in to your account from different country. Review this activity.,5,phishing
Your Bank of America account is being reviewed. Submit ID verification.,5,phishing
Important: Your Citibank account requires immediate attention. Update your information.,5,phishing
Verify your Wells Fargo account within 24 hours or it will be suspended permanently.,5,phishing
"Someone requested a password reset for your Adobe account. If this wasn't you, click here to cancel.",5,phishing
Your Chase account is being reviewed. Submit ID verification.,5,phishing
We blocked a sign-in to your account from new device. Review this activity.,5,phishing
"Someone requested a password reset for your Bank of America account. If this wasn't you, click here to cancel.",5,phishing
Important: Your Amazon account requires immediate attention. Update your information.,5,phishing
Your Citibank account is being reviewed. Submit ID verification.,5,phishing
Verify your LinkedIn account within 24 hours or it will be suspended permanently.,5,phishing
Invoice #8020 is overdue. Pay now to avoid service interruption.,5,phishing
Your payment for Citibank failed. Please update your billing information to continue service.,5,phishing
"New device signed into your Netflix account. If this wasn't you, secure your account now!",5,phishing
Your payment for Facebook failed. Please update your billing information to continue service.,5,phishing
Your Bank of America account has been compromised. Click here to secure your account now!,5,phishing
Your package from PayPal could not be delivered. Update your address.,5,phishing
"New device signed into your Adobe account. If this wasn't you, secure your account now!",5,phishing
Important: Your Bank of America account requires immediate attention. Update your information.,5,phishing
Your Wells Fargo account has been compromised. Click here to secure your account now!,5,phishing
Your Citibank account has been compromised. Click here to secure your account now!,5,phishing
Your package from Microsoft could not be delivered. Update your address.,5,phishing
"New device signed into your Microsoft account. If this wasn't you, secure your account now!",5,phishing
Verify your Amazon account within 24 hours or it will be suspended permanently.,5,phishing
"New device signed into your Facebook account. If this wasn't you, secure your account now!",5,phishing
Your LinkedIn account has been compromised. Click here to secure your account now!,5,phishing
